,Year,Team Name,Team Abbreviation,Games Played,Points,Blocks,Field Goal Percent,Rank
0,1999,Sacramento Kings,SAC,50,5009,232,0.445,1
1,1999,Los Angeles Lakers,LAL,50,4950,287,0.468,2
2,1999,Phoenix Suns,PHO,50,4779,200,0.449,3
3,1999,Seattle SuperSonics,SEA,50,4743,201,0.442,4
4,1999,Portland Trail Blazers,POR,50,4742,290,0.442,5
5,1999,Indiana Pacers,IND,50,4733,223,0.448,6
6,1999,Houston Rockets,HOU,50,4711,260,0.462,7
7,1999,Denver Nuggets,DEN,50,4674,275,0.421,8
8,1999,Utah Jazz,UTA,50,4666,276,0.465,9
9,1999,Boston Celtics,BOS,50,4650,255,0.436,10
10,1999,Minnesota Timberwolves,MIN,50,4647,272,0.425,11
11,1999,Charlotte Hornets,CHH,50,4644,247,0.449,12
12,1999,San Antonio Spurs,SAS,50,4640,351,0.456,13
13,1999,Milwaukee Bucks,MIL,50,4584,202,0.459,14
14,1999,Dallas Mavericks,DAL,50,4581,292,0.434,15
15,1999,New Jersey Nets,NJN,50,4569,273,0.406,16
16,1999,Washington Wizards,WAS,50,4560,193,0.445,17
17,1999,Toronto Raptors,TOR,50,4557,321,0.421,18
18,1999,Los Angeles Clippers,LAC,50,4519,236,0.427,19
19,1999,Detroit Pistons,DET,50,4518,208,0.447,20
20,1999,Philadelphia 76ers,PHI,50,4483,271,0.426,21
21,1999,Orlando Magic,ORL,50,4473,213,0.428,22
22,1999,Miami Heat,MIA,50,4449,304,0.453,23
23,1999,Vancouver Grizzlies,VAN,50,4443,199,0.428,24
24,1999,Golden State Warriors,GSW,50,4416,221,0.415,25
25,1999,Cleveland Cavaliers,CLE,50,4322,203,0.439,26
26,1999,New York Knicks,NYK,50,4320,262,0.435,27
27,1999,Atlanta Hawks,ATL,50,4315,260,0.409,28
28,1999,Chicago Bulls,CHI,50,4095,169,0.401,29
29,2000,Sacramento Kings,SAC,82,8607,381,0.45,1
30,2000,Detroit Pistons,DET,82,8483,273,0.459,2
31,2000,Dallas Mavericks,DAL,82,8316,416,0.453,3
32,2000,Indiana Pacers,IND,82,8306,422,0.459,4
33,2000,Milwaukee Bucks,MIL,82,8300,381,0.465,5
34,2000,Los Angeles Lakers,LAL,82,8267,534,0.459,6
35,2000,Orlando Magic,ORL,82,8206,467,0.452,7
36,2000,Houston Rockets,HOU,82,8156,438,0.45,8
37,2000,Boston Celtics,BOS,82,8146,286,0.444,9
38,2000,Seattle SuperSonics,SEA,82,8125,345,0.447,10
39,2000,Denver Nuggets,DEN,82,8115,618,0.442,11
40,2000,Phoenix Suns,PHO,82,8111,433,0.457,12
41,2000,Minnesota Timberwolves,MIN,82,8079,444,0.467,13
42,2000,Charlotte Hornets,CHH,82,8072,480,0.449,14
43,2000,New Jersey Nets,NJN,82,8036,393,0.433,15
44,2000,Portland Trail Blazers,POR,82,7991,396,0.47,16
45,2000,Toronto Raptors,TOR,82,7968,544,0.433,17
46,2000,Cleveland Cavaliers,CLE,82,7950,363,0.442,18
47,2000,Washington Wizards,WAS,82,7921,383,0.451,19
48,2000,Utah Jazz,UTA,82,7914,446,0.464,20
49,2000,San Antonio Spurs,SAS,82,7886,551,0.462,21
50,2000,Golden State Warriors,GSW,82,7834,356,0.42,22
51,2000,Philadelphia 76ers,PHI,82,7771,386,0.442,23
52,2000,Miami Heat,MIA,82,7739,524,0.46,24
53,2000,Atlanta Hawks,ATL,82,7735,461,0.441,25
54,2000,Vancouver Grizzlies,VAN,82,7702,346,0.449,26
55,2000,New York Knicks,NYK,82,7555,349,0.455,27
56,2000,Los Angeles Clippers,LAC,82,7546,494,0.426,28
57,2000,Chicago Bulls,CHI,82,6952,383,0.415,29
58,2001,Sacramento Kings,SAC,82,8343,432,0.449,1
59,2001,Milwaukee Bucks,MIL,82,8260,386,0.458,2
60,2001,Los Angeles Lakers,LAL,82,8251,490,0.465,3
61,2001,Dallas Mavericks,DAL,82,8239,492,0.459,4
62,2001,Toronto Raptors,TOR,82,8007,519,0.437,5
63,2001,Orlando Magic,ORL,82,7992,481,0.438,6
64,2001,Minnesota Timberwolves,MIN,82,7982,456,0.458,7
65,2001,Seattle SuperSonics,SEA,82,7978,409,0.456,8
66,2001,Houston Rockets,HOU,82,7972,358,0.453,9
67,2001,Utah Jazz,UTA,82,7959,463,0.471,10
68,2001,Denver Nuggets,DEN,82,7918,538,0.433,11
69,2001,San Antonio Spurs,SAS,82,7886,576,0.461,12
70,2001,Detroit Pistons,DET,82,7837,447,0.424,13
71,2001,Portland Trail Blazers,POR,82,7824,419,0.468,14
72,2001,Philadelphia 76ers,PHI,82,7763,408,0.447,15
73,2001,Boston Celtics,BOS,82,7759,336,0.428,16
74,2001,Phoenix Suns,PHO,82,7710,429,0.436,17
75,2001,Washington Wizards,WAS,82,7645,383,0.439,18
76,2001,Indiana Pacers,IND,82,7591,487,0.44,19
77,2001,Golden State Warriors,GSW,82,7584,410,0.409,20
78,2001,Los Angeles Clippers,LAC,82,7581,513,0.448,21
79,2001,Cleveland Cavaliers,CLE,82,7561,436,0.442,22
80,2001,New Jersey Nets,NJN,82,7552,407,0.425,23
81,2001,Charlotte Hornets,CHH,82,7539,455,0.431,24
82,2001,Vancouver Grizzlies,VAN,82,7522,359,0.439,25
83,2001,Atlanta Hawks,ATL,82,7459,387,0.431,26
84,2001,Miami Heat,MIA,82,7289,304,0.43,27
85,2001,New York Knicks,NYK,82,7275,346,0.444,28
86,2001,Chicago Bulls,CHI,82,7181,379,0.424,29
87,2002,Dallas Mavericks,DAL,82,8629,392,0.462,1
88,2002,Sacramento Kings,SAC,82,8578,375,0.467,2
89,2002,Los Angeles Lakers,LAL,82,8304,478,0.461,3
90,2002,Orlando Magic,ORL,82,8240,384,0.448,4
91,2002,Minnesota Timberwolves,MIN,82,8145,427,0.461,5
92,2002,Seattle SuperSonics,SEA,82,8014,364,0.469,6
93,2002,Golden State Warriors,GSW,82,8009,523,0.429,7
94,2002,Milwaukee Bucks,MIL,82,7996,388,0.462,8
95,2002,Indiana Pacers,IND,82,7938,436,0.446,9
96,2002,San Antonio Spurs,SAS,82,7932,537,0.458,10
97,2002,Portland Trail Blazers,POR,82,7925,368,0.45,11
98,2002,Boston Celtics,BOS,82,7901,292,0.424,12
99,2002,New Jersey Nets,NJN,82,7889,490,0.446,13
100,2002,Utah Jazz,UTA,82,7871,523,0.45,14
101,2002,Los Angeles Clippers,LAC,82,7846,540,0.445,15
102,2002,Cleveland Cavaliers,CLE,82,7812,470,0.448,16
103,2002,Phoenix Suns,PHO,82,7802,401,0.447,17
104,2002,Detroit Pistons,DET,82,7735,565,0.452,18
105,2002,Atlanta Hawks,ATL,82,7711,350,0.439,19
106,2002,Charlotte Hornets,CHH,82,7700,456,0.44,20
107,2002,Washington Wizards,WAS,82,7609,354,0.441,21
108,2002,Houston Rockets,HOU,82,7572,445,0.428,22
109,2002,Denver Nuggets,DEN,82,7559,462,0.424,23
110,2002,New York Knicks,NYK,82,7514,288,0.432,24
111,2002,Toronto Raptors,TOR,82,7494,454,0.434,25
112,2002,Philadelphia 76ers,PHI,82,7461,363,0.436,26
113,2002,Memphis Grizzlies,MEM,82,7372,488,0.436,27
114,2002,Chicago Bulls,CHI,82,7335,361,0.433,28
115,2002,Miami Heat,MIA,82,7150,448,0.439,29
116,2003,Dallas Mavericks,DAL,82,8444,449,0.453,1
117,2003,Golden State Warriors,GSW,82,8400,506,0.441,2
118,2003,Sacramento Kings,SAC,82,8342,457,0.464,3
119,2003,Los Angeles Lakers,LAL,82,8230,470,0.451,4
120,2003,Milwaukee Bucks,MIL,82,8158,344,0.457,5
121,2003,Orlando Magic,ORL,82,8078,300,0.436,6
122,2003,Minnesota Timberwolves,MIN,82,8046,433,0.466,7
123,2003,Memphis Grizzlies,MEM,82,7995,500,0.452,8
124,2003,Philadelphia 76ers,PHI,82,7941,284,0.448,9
125,2003,Indiana Pacers,IND,82,7940,443,0.441,10
126,2003,New York Knicks,NYK,82,7860,255,0.441,11
127,2003,San Antonio Spurs,SAS,82,7856,529,0.462,12
128,2003,Phoenix Suns,PHO,82,7834,404,0.443,13
129,2003,New Jersey Nets,NJN,82,7820,374,0.441,14
130,2003,Portland Trail Blazers,POR,82,7803,316,0.46,15
131,2003,Chicago Bulls,CHI,82,7786,461,0.445,16
132,2003,Utah Jazz,UTA,82,7762,467,0.468,17
133,2003,Atlanta Hawks,ATL,82,7714,473,0.444,18
134,2003,New Orleans Hornets,NOH,82,7699,394,0.435,19
135,2003,Los Angeles Clippers,LAC,82,7693,461,0.437,20
136,2003,Houston Rockets,HOU,82,7688,493,0.44,21
137,2003,Boston Celtics,BOS,82,7599,303,0.415,22
138,2003,Seattle SuperSonics,SEA,82,7555,295,0.437,23
139,2003,Washington Wizards,WAS,82,7502,390,0.44,24
140,2003,Cleveland Cavaliers,CLE,82,7495,521,0.422,25
141,2003,Detroit Pistons,DET,82,7492,468,0.43,26
142,2003,Toronto Raptors,TOR,82,7453,392,0.427,27
143,2003,Miami Heat,MIA,82,7016,324,0.412,28
144,2003,Denver Nuggets,DEN,82,6901,422,0.411,29
145,2004,Dallas Mavericks,DAL,82,8626,437,0.459,1
146,2004,Sacramento Kings,SAC,82,8433,325,0.462,2
147,2004,Los Angeles Lakers,LAL,82,8052,379,0.454,3
148,2004,Milwaukee Bucks,MIL,82,8039,383,0.447,4
149,2004,Denver Nuggets,DEN,82,7972,520,0.443,5
150,2004,Seattle SuperSonics,SEA,82,7964,387,0.446,6
151,2004,Memphis Grizzlies,MEM,82,7930,565,0.445,7
152,2004,Boston Celtics,BOS,82,7811,331,0.443,8
153,2004,Los Angeles Clippers,LAC,82,7771,376,0.428,9
154,2004,Minnesota Timberwolves,MIN,82,7753,462,0.462,10
155,2004,Phoenix Suns,PHO,82,7723,383,0.443,11
156,2004,Orlando Magic,ORL,82,7711,308,0.429,12
157,2004,Golden State Warriors,GSW,82,7649,389,0.442,13
158,2004,Cleveland Cavaliers,CLE,82,7619,537,0.433,14
159,2004,Atlanta Hawks,ATL,82,7611,408,0.433,15
160,2004,New York Knicks,NYK,82,7542,391,0.442,16
161,2004,New Orleans Hornets,NOH,82,7529,346,0.42,17
162,2004,Washington Wizards,WAS,82,7528,406,0.421,18
163,2004,San Antonio Spurs,SAS,82,7501,537,0.442,19
164,2004,Indiana Pacers,IND,82,7493,411,0.435,20
165,2004,Portland Trail Blazers,POR,82,7440,443,0.448,21
166,2004,Miami Heat,MIA,82,7402,313,0.425,22
167,2004,New Jersey Nets,NJN,82,7401,322,0.441,23
168,2004,Detroit Pistons,DET,82,7388,570,0.435,24
169,2004,Houston Rockets,HOU,82,7362,443,0.442,25
170,2004,Chicago Bulls,CHI,82,7355,396,0.414,26
171,2004,Utah Jazz,UTA,82,7271,494,0.436,27
172,2004,Philadelphia 76ers,PHI,82,7215,358,0.428,28
